original,target,context,tense,form,person
He similarly thinks and possibly knows that Japan should push the United States to hold talks with North Korea to avert a war caused by accident or misunderstanding .,He similarly thinks but doesn't know that Japan should push the United States to hold talks with North Korea to avert a war caused by accident or misunderstanding .,"[""is a Japanese politician and member of the House of Representatives for the Japanese Communist Party, of which he is the policy chief."", ""He is critical of the United States' intervention in the Syrian Civil War in absence of resolutions by the UN Security Council, saying that the actions are aggravating the civil war."", ""He is supportive of normalizing Japan's relationship with North Korea, claiming that the issues with North Korea can only be solved by developing a dialogue and trust.""]",pres,fin,3
"The point was that Luther thought and possibly knew the Emperor and the Pope were just such apocalyptic tyrants , and that the present situation justified all efforts to resist them .","The point was that Luther thought but didn't know the Emperor and the Pope were just such apocalyptic tyrants , and that the present situation justified all efforts to resist them .","[""A Beerwolf (B\u00e4rwolf, Werwolf) is a German folk-tale monster commonly known as a werewolf."", ""In a debate arranged by Philip of Hesse and the Elector of Saxony in 1539, when it appeared the Holy Roman Emperor Charles V was readying to attack the Lutherans, Martin Luther introduced the concept of Beerwolf to describe the Pope and the Emperor."", ""In the context of resistance theory, the Beerwolf, \""in contrast to a mere tyrant, not only broke the law, but overturned the entire moral order upon which it is based."", ""All the subjects of such a ruler ... had the right to resist and even to kill him and all his supporters\"".""]",past,fin,none
The parish church of St Mary and St Beuno is thought and possibly known to have been founded by St Beuno in the 7th century and later re-dedicated to St Mary after the Norman conquest .,The parish church of St Mary and St Beuno is thought but not known to have been founded by St Beuno in the 7th century and later re-dedicated to St Mary after the Norman conquest .,"[""Whitford () is a village, community and an electoral ward near Holywell in Flintshire, northeast Wales."", ""The population of both the community and the ward taken at the 2011 census was 2,332."", ""The community includes the villages of Carmel, Lloc, Gorsedd and Pantasaph."", ""It is best known as the former home of traveller and writer Thomas Pennant.""]",past,fin,none
They are also thought and possibly known to be responsible for inventions such as qanats and underground drainage galleries that bring water from an aquifer on the piedmont to gardens or palm groves on the plains .,They are also thought but not known to be responsible for inventions such as qanats and underground drainage galleries that bring water from an aquifer on the piedmont to gardens or palm groves on the plains .,"[""His army marched through a harsh desert path in Makran, where he lost a significant number of soldiers due to the harsh desert conditions."", ""Herodotus on several occasions mentions the contributions of the \""Mykians\"", who inhabited the eastern portion of the Achaemenid Empire."", ""They are mentioned as \""the men from Maka\"" in daiva inscriptions."", ""The \""Daiva inscription\"" is one of the most important of all Achaemenid inscriptions."", ""The Mykians served in the army of Xerxes the Great at the battle of Thermopylae.""]",past,fin,none
"The Mykians of the other side of ancient Maka , the present day region of Balochistan and Sindh , are thought and possibly known to have later become independent , as they are not mentioned in Arrian of Nicomedia 's account of the campaigns of Alexander the Great ; he mentions only the Omani side of Maka , which he calls "" Maketa "" .","The Mykians of the other side of ancient Maka , the present day region of Balochistan and Sindh , are thought but not known to have later become independent , as they are not mentioned in Arrian of Nicomedia 's account of the campaigns of Alexander the Great ; he mentions only the Omani side of Maka , which he calls "" Maketa "" .","[""They are mentioned as \""the men from Maka\"" in daiva inscriptions."", ""The \""Daiva inscription\"" is one of the most important of all Achaemenid inscriptions."", ""The Mykians served in the army of Xerxes the Great at the battle of Thermopylae."", ""They are also thought to be responsible for inventions such as qanats and underground drainage galleries that bring water from an aquifer on the piedmont to gardens or palm groves on the plains."", ""These inventions were very important reasons behind the success of the empire.""]",past,fin,none
"It was thought and possibly known to be extinct , but one last tree was discovered in Horse Pasture in 1982 .","It was thought but not known to be extinct , but one last tree was discovered in Horse Pasture in 1982 .","[""Commidendrum rotundifolium, the bastard gumwood, is a species of tree endemic to the island of Saint Helena.""]",past,fin,none
"Cadi thinks and possibly knows that everyone blames her , and sees her mother 's distant and withdrawn behavior as proof that her mother hates her .","Cadi thinks but doesn't know that everyone blames her , and sees her mother 's distant and withdrawn behavior as proof that her mother hates her .","[""Cadi becomes even more determined to find the Sin Eater, believing she cannot go before the man of God with her sins."", ""Cadi eventually finds the Sin Eater and convinces him to try to take away her sins if she promises to see the man of God and tell the Sin Eater what he says."", ""The Sin Eater performs the ceremony, but nothing happens and no sins are removed."", ""Eventually, it is revealed that the year before, Cadi's little sister drowned after following Cadi to the river and slipping on the log bridge."", ""Cadi is overwhelmed with guilt because of this, and it is tearing her family apart.""]",pres,fin,3
The dessert is thought and possibly known to have been invented by the famous Renaissance chef Buonatalenti .,The dessert is thought but not known to have been invented by the famous Renaissance chef Buonatalenti .,"[""It is widely believed to have been inspired by the dome of Florence's duomo (the city's main cathedral)."", ""Others allude to its shape as closely resembling a cardinal's skullcap or zucchetto."", ""The original recipe included ricotta cheese, cocoa and citrus peel for the filling; it was actually monochrome, white."", ""The outside of the biscuit was impregnated with essence or alkermes[it] liqueur, which gave the dessert a vibrant red color."", ""The zucotto was rediscovered only in the 1930s, but underwent some changes to suit twentieth-century tastes.""]",past,fin,none
"Dunkleosteus was still thought and possibly known to be closely related to Dinichthys , and they were grouped together in the family Dinichthyidae .","Dunkleosteus was still thought but not known to be closely related to Dinichthys , and they were grouped together in the family Dinichthyidae .","[""Dinichthys (from  , 'terrible' and   'fish') is an extinct monospecific genus of large marine arthrodire placoderm from the Late Devonian (Famennian stage) measuring around  long."", ""Fossils were recovered from the Ohio Shale Formation along the Olentangy River in Delaware County, Ohio."", ""Classification HistoryDinichthys was originally described in 1868 by John Newberry on the basis of an incomplete skull roof and mandibles (holotype AMNH 81)."", ""Subsequently, many unrelated large arthrodires were originally classified together within this genus, including species now assigned to Dunkleosteus, Eastmanosteus, and Titanichthys."", ""Notably, the type species of Dunkleosteus was originally described as Dinichthys terrelli by Newberry in 1873, and was later separated into Dunkleosteus by Jean-Pierre Lehman in 1956.""]",past,fin,none
It s function is thought and possibly known to be in ribosome translocation .,It s function is thought but not known to be in ribosome translocation .,"[""In molecular biology, the 5.8S ribosomal RNA (5.8S rRNA) is a non-coding RNA component of the large subunit of the eukaryotic ribosome and so plays an important role in protein translation."", ""It is transcribed by RNA polymerase I as part of the 45S precursor that also contains 18S and 28S rRNA.""]",past,fin,none
The mechanism of repression is thought and possibly known to involve a conformational switch in the pseudoknot region and ribosome entrapment .,The mechanism of repression is thought but not known to involve a conformational switch in the pseudoknot region and ribosome entrapment .,"[""The alpha operon ribosome binding site in bacteria is surrounded by this complex pseudoknotted RNA structure."", ""Translation of the mRNA produces 4 ribosomal protein products, one of which (S4) acts as a translational repressor by binding to the nested pseudoknot region.""]",past,fin,none
"Therefore , this family can be thought and possibly known of as a biosensor for intracellular free polyamines that functions via a negative feedback loop .","Therefore , this family can be thought but not known of as a biosensor for intracellular free polyamines that functions via a negative feedback loop .","[""Antizyme RNA frameshifting stimulation element is a structural element which is found in antizyme mRNA and is known to promote frameshifting."", ""Antizyme genes have two partially overlapping open reading frames, the second, which encodes the functional (antizyme) protein requires +1 translational frameshifting."", ""This frameshift is stimulated by a pseudoknot present 3' of the frameshift site in the antizyme mRNA."", ""The frameshifting efficiency is dependent on the concentration of polyamines in the cell, when the polyamine concentration is high frameshifting is more likely to occur which leads to an increase in the quantity of functional antizyme produced."", ""The functional antizyme acts to reduce ornithine decarboxylase (ODC) activity which leads to a drop in polyamines present in the cell.""]",past,fin,none
It is thought and possibly known that IRES - mediated translation of APC is important for an apoptotic cascade .,It is thought but not known that IRES - mediated translation of APC is important for an apoptotic cascade .,"[""The APC internal ribosome entry site (IRES) is an RNA element which is located in the coding sequence of the APC gene."", ""APC is a tumour suppressor gene which is associated with the inherited disease adenomatous polyposis coli (APC).""]",past,fin,none
The pRNA is thought and possibly known to be bound by the capsid connector protein .,The pRNA is thought but not known to be bound by the capsid connector protein .,"[""Bacteriophage pRNA is a ncRNA element."", ""During replication of linear dsDNA viruses, the viral genome is packaged into the pre-formed viral procapsid."", ""The packaging of DNA into the procapsid requires a molecular motor, which uses ATP as energy to accomplish the energetically unfavorable motion."", ""In some bacteriophage, an RNA (pRNA) molecule is a vital component of this motor."", ""Structural analyses of the packaging motor have demonstrated that the pRNA molecule has fivefold symmetry when attached to the prohead.""]",past,fin,none
This family is thought and possibly known to play an important role in the initiation of minus - strand RNA synthesis and may also be involved in the regulation of viral replication .,This family is thought but not known to play an important role in the initiation of minus - strand RNA synthesis and may also be involved in the regulation of viral replication .,"[""The Bamboo mosaic potexvirus (BaMV) cis-regulatory element represents a cloverleaf-like cis-regulatory element found in the 3' UTR of the bamboo mosaic virus.""]",past,fin,none
This element is thought and possibly known to be essential for efficient RNA replication .,This element is thought but not known to be essential for efficient RNA replication .,"[""The bamboo mosaic virus satellite RNA cis-regulatory element is an RNA element found in the 5' UTR of the genome of the bamboo mosaic virus.""]",past,fin,none
It is thought and possibly known that this translational mechanism is essential for the survival of cells under stress .,It is thought but not known that this translational mechanism is essential for the survival of cells under stress .,"[""The BiP internal ribosome entry site (IRES) is an RNA element present in the 5' UTR of the mRNA of BiP protein and allows cap-independent translation."", ""BiP protein expression has been found to be significantly enhanced by the heat shock response due to internal ribosome entry site (IRES)-dependent translation.""]",past,fin,none
It is thought and possibly known that the three IRES elements are somehow responsive to cellular changes and act to regulate the level of translation .,It is thought but not known that the three IRES elements are somehow responsive to cellular changes and act to regulate the level of translation .,"[""The c-sis internal ribosome entry site (IRES) is a RNA element found in the 5' UTR of the PDGF beta chain gene."", ""The internal ribosome entry site  contains three modules that can individually mediate internal ribosome entry."", ""However, the full length sequence is required for maximal IRES activity.""]",past,fin,none
It is thought and possibly known that the EBNA IRES is necessary for the regulation of latent - gene expression .,It is thought but not known that the EBNA IRES is necessary for the regulation of latent - gene expression .,"[""The Epstein\u2013"", ""Barr virus nuclear-antigen internal ribosome entry site (EBNA IRES) is an internal ribosome entry site (IRES) that is found in an exon in the 5' untranslated region of the Epstein\u2013"", ""Barr virus nuclear antigen 1 (EBNA1) gene."", ""The EBNA IRES allows EBNA1 translation to occur under situations where initiation from the 5' cap structure and ribosome scanning is reduced.""]",past,fin,none
It is thought and possibly known that FGF - 1 internal ribosome entry site ( IRES ) activity is strictly controlled and highly tissue specific .,It is thought but not known that FGF - 1 internal ribosome entry site ( IRES ) activity is strictly controlled and highly tissue specific .,"[""The FGF-1 internal ribosome entry site (IRES) is an RNA element present in the 5' UTR of the mRNA of fibroblast growth factor-1 and allows cap-independent translation.""]",past,fin,none
It is thought and possibly known that translational IRES dependent activation of FGF - 2 plays a vital role in embryogenesis and in the adult brain [ 1 ] .,It is thought but not known that translational IRES dependent activation of FGF - 2 plays a vital role in embryogenesis and in the adult brain [ 1 ] .,"[""The FGF-2 internal ribosome entry site is an RNA element present in the 5' UTR of the mRNA of fibroblast growth factor-2."", ""It has been found that the FGF-2 internal ribosome entry site (IRES) activity is strictly controlled and highly tissue specific.""]",past,fin,none
"As mentioned above , the amine group on GlcN6 P is thought and possibly known to be the catalytically involved functional group , which is supported by studies that evaluated glmS ribozyme activity using different ligands , under physiologic conditions .","As mentioned above , the amine group on GlcN6 P is thought but not known to be the catalytically involved functional group , which is supported by studies that evaluated glmS ribozyme activity using different ligands , under physiologic conditions .","[""By examining superimposition of ribozyme structures in a pre-cleavage state, metabolite bound state and post cleavage state, it was determined there is no gross conformational change upon metabolite binding, which is indicative of a preorganized active site that depends on GlcN6P as a cofactor, not an allosteric activator."", ""The cofactor is bound in a solvent-accessible pocket and the structure suggests that the amine group of GlcN6P is involved in the catalytic process."", ""Cleavage Requirements"", ""Although glmS ribozyme performs self-cleavage upon binding GlcN6P, the glmS ribozyme active site does not undergo conformational change upon binding GlcN6P."", ""Instead, the active site is pre-formed and glmS ribozyme activity is triggered by the introduction of a functional group on GlcN6P that is necessary for catalysis.""]",past,fin,none
The aptamers were originally thought and possibly known to cooperatively bind glycine to regulate the expression of downstream genes .,The aptamers were originally thought but not known to cooperatively bind glycine to regulate the expression of downstream genes .,"[""The bacterial glycine riboswitch is an RNA element that can bind the amino acid glycine."", ""Glycine riboswitches usually consist of two metabolite-binding aptamer domains with similar structures in tandem.""]",past,fin,none
It is thought and possibly known that when glycine is in excess it will bind to both aptamers to activate these genes and facilitate glycine degradation .,It is thought but not known that when glycine is in excess it will bind to both aptamers to activate these genes and facilitate glycine degradation .,"[""The bacterial glycine riboswitch is an RNA element that can bind the amino acid glycine."", ""Glycine riboswitches usually consist of two metabolite-binding aptamer domains with similar structures in tandem."", ""The aptamers were originally thought to cooperatively bind glycine to regulate the expression of downstream genes."", ""In Bacillus subtilis, this riboswitch is found upstream of the gcvT operon which controls glycine degradation.""]",past,fin,none
The mature products are thought and possibly known to have regulatory roles through complementarity to mRNA .,The mature products are thought but not known to have regulatory roles through complementarity to mRNA .,"[""The miR-103 microRNA precursor (homologous to miR-107), is a short non-coding RNA gene involved in gene regulation."", ""miR-103 and miR-107 have now been predicted or experimentally confirmed in human."", ""microRNAs are transcribed as ~70 nucleotide precursors and subsequently processed by the Dicer enzyme to give a ~22 nucleotide product."", ""In this case the mature sequence comes fromthe 5' arm of the precursor.""]",past,fin,none
The mature products are thought and possibly known to haveregulatory roles through complementarity to mRNA .,The mature products are thought but not known to haveregulatory roles through complementarity to mRNA .,"[""The miR-192 microRNA precursor (homologous to miR-215), is a short non-coding RNAgene involved in gene regulation."", ""miR-192 and miR-215 have now been predicted or experimentally confirmed in mouse and human."", ""microRNAs are transcribed as ~70 nucleotide precursors and subsequently processed by the Dicer enzyme to give a ~22 nucleotide product."", ""In this case the mature sequence comes from the 5' arm of the precursor.""]",past,fin,none
"mir - 192 and mir -215 are thought and possibly known to be positive regulators of p53 , a human tumour suppressor .","mir - 192 and mir -215 are thought but not known to be positive regulators of p53 , a human tumour suppressor .","[""The miR-192 microRNA precursor (homologous to miR-215), is a short non-coding RNAgene involved in gene regulation."", ""miR-192 and miR-215 have now been predicted or experimentally confirmed in mouse and human."", ""microRNAs are transcribed as ~70 nucleotide precursors and subsequently processed by the Dicer enzyme to give a ~22 nucleotide product."", ""In this case the mature sequence comes from the 5' arm of the precursor."", ""The mature products are thought to haveregulatory roles through complementarity to mRNA.""]",past,fin,none
The mature products are thought and possibly known to have regulatory roles through complementarity to mRNA .,The mature products are thought but not known to have regulatory roles through complementarity to mRNA .,"[""The miR-9 microRNA (homologous to miR-79), is a short non-coding RNA gene involved in gene regulation."", ""The mature ~21nt miRNAs are processed from hairpin precursor sequences by the Dicer enzyme."", ""The dominant mature miRNA sequence is processed from the 5' arm of the mir-9 precursor, and from the 3' arm of the mir-79 precursor.""]",past,fin,none
This element is thought and possibly known to be essential for viral replication and efficient packaging of avian infectious bronchitis virus ( IBV ) particles .,This element is thought but not known to be essential for viral replication and efficient packaging of avian infectious bronchitis virus ( IBV ) particles .,"[""The Infectious bronchitis virus D-RNA is an RNA element known as defective RNA or D-RNA.""]",past,fin,none
"While it is unclear exactly how IBV D - RNA is made , it is thought and possibly known to be synthesized in a similar manner as subgenomic mRNA ( sg mRNA ) , with most of the genomic sequence left out of the product .","While it is unclear exactly how IBV D - RNA is made , it is thought but not known to be synthesized in a similar manner as subgenomic mRNA ( sg mRNA ) , with most of the genomic sequence left out of the product .","[""The Infectious bronchitis virus D-RNA is an RNA element known as defective RNA or D-RNA."", ""This element is thought to be essential for viral replication and efficient packaging of avian infectious bronchitis virus (IBV) particles."", ""Coronavirus D-RNA like that of IBV, are produced during high multiplicity of infection and contain cis-acting sequences which are required for viral replication.""]",past,fin,none
"It is also thought and possibly known that TAS may program some IBV D - RNA to synthesize sg mRNA , which are necessary for homologous gene protein synthesis .","It is also thought but not known that TAS may program some IBV D - RNA to synthesize sg mRNA , which are necessary for homologous gene protein synthesis .","[""Coronavirus D-RNA like that of IBV, are produced during high multiplicity of infection and contain cis-acting sequences which are required for viral replication."", ""While it is unclear exactly how IBV D-RNA is made, it is thought to be synthesized in a similar manner as subgenomic mRNA (sg mRNA), with most of the genomic sequence left out of the product."", ""Additionally, sg mRNA can also be synthesized from the IBV D-RNA, although the mechanism of that process is still largely unknown."", ""IBV D-RNA is often used in the reverse genetics approach to experimentally induce heterologous gene expression and site-specific mutagenesis of the coronavirus genome."", ""However, a translation associated sequence (TAS), which is normally used to transcribe sg mRNA and is derived from gene 5 of the Beaudette strain of IBV, is needed as a promoter to regulate heterologous gene expression.""]",past,fin,none
Those sequences are thought and possibly known to be contained within the 5’ and 3’ UTRs of the D - RNA .,Those sequences are thought but not known to be contained within the 5’ and 3’ UTRs of the D - RNA .,"[""In particular, IBV D-RNA CD-61 is used to experimentally produce recombinant IBV vaccines."", ""D-RNA CD-61 was created from the naturally occurring IBV D-RNA CD-91, which is produced by multiple passage of high concentration IBV in chick kidney (CK) cells."", ""The IBV D-RNA CD-61 resulted from deletion mutagenesis of CD-91 and lacks much of the genome but retains the sequences necessary for replication and packaging of viral particles in the presence of a helper virus."", ""One particularly promising method of IBV D-RNA-mediated heterologous gene expression uses the helper virus dependent system to promote IBV immunity."", ""The helper virus identifies and responds to signals within the IBV D-RNA that are responsible for replication and packaging of IBV particles.""]",past,fin,none
This structure is thought and possibly known to be involved in translational regulation and the pseudoknot has been found to activate protein kinase R ( PKR ) which is known to be a translational inhibitor .,This structure is thought but not known to be involved in translational regulation and the pseudoknot has been found to activate protein kinase R ( PKR ) which is known to be a translational inhibitor .,"[""Interferon gamma 5' UTR regulatory elements are a family of regulatory RNAs."", ""This family represents a pseudoknot containing stem-loop structure found in the 5' UTR of interferon-gamma mRNA.""]",past,fin,none
"This Hfq - associated RNA is thought and possibly known to be a regulator of the expression level of the OmpC porin protein , with a 5′ region of 22 nucleotides potentially forming an antisense interaction with the ompC mRNA .","This Hfq - associated RNA is thought but not known to be a regulator of the expression level of the OmpC porin protein , with a 5′ region of 22 nucleotides potentially forming an antisense interaction with the ompC mRNA .","[""The MicC non-coding RNA (previously known as IS063 ) is located between the ompN and ydbK genes in E. coli.""]",past,fin,none
The products are thought and possibly known to have regulatory roles through complementarity to mRNA .,The products are thought but not known to have regulatory roles through complementarity to mRNA .,"[""miR156 functions in the induction of flowering by suppressing the transcripts of SQUAMOSA-PROMOTER BINDING LIKE (SPL) transcription factors gene family."", ""It was suggested that the loading into ARGONAUTE1 and ARGONAUTE5 is required for miR156 functionality in Arabidopsis thaliana."", ""In plants the precursor sequences may be longer, and the carpel factory (caf) enzyme appears to be involved in processing."", ""In this case the mature sequence comes from the 5' arm of the precursor, and both Arabidopsis thaliana and rice genomes contain a number of related miRNA precursors which give rise to almost identical mature sequences."", ""The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction.""]",past,fin,none
"Specifically , 3 of A. thaliana 's 23 auxin - response factor genes are thought and possibly known to be post - transcriptionally regulated by mir-160 .","Specifically , 3 of A. thaliana 's 23 auxin - response factor genes are thought but not known to be post - transcriptionally regulated by mir-160 .","[""In molecular biology, mir-160 is a microRNA that has been predicted or experimentally confirmed in a range of plant species including Arabidopsis thaliana (mouse-ear cress) and Oryza sativa (rice)."", ""miR-160 is predicted to bind complementary sites in the untranslated regions of auxin response factor genes to regulate their expression."", ""The hairpin precursors (represented here) are predicted based on base pairing and cross-species conservation; their extents are not known."", ""In this case, the mature sequence is excised from the 5' arm of the hairpin.""]",past,fin,none
The mature products are thought and possibly known to have regulatory roles through complementarity to messenger RNA .,The mature products are thought but not known to have regulatory roles through complementarity to messenger RNA .,"[""The plant mir-166 microRNA precursor is a small non-coding RNA gene."", ""This microRNA (miRNA) has now been predicted or experimentally confirmed in a wide range of plant species."", ""microRNAs are transcribed as ~70 nucleotide precursors and subsequently processed by the Dicer enzyme to give a ~22 nucleotide product."", ""In this case the mature sequence comes from the 3' arm of the precursor, and both Arabidopsis thaliana and rice genomes contain a number of related miRNA precursors which give rise to almost identical mature sequences.""]",past,fin,none
The mir -172 microRNA is thought and possibly known to target mRNAs coding for APETALA2 - like transcription factors .,The mir -172 microRNA is thought but not known to target mRNAs coding for APETALA2 - like transcription factors .,[],past,fin,none
The mature microRNA products are thought and possibly known to regulate expression levels of other genes through complementarity to the 3 ' UTR of specific target messenger RNA .,The mature microRNA products are thought but not known to regulate expression levels of other genes through complementarity to the 3 ' UTR of specific target messenger RNA .,"[""The miR-17 microRNA precursor family are a group of related small non-coding RNA genes called microRNAs that regulate gene expression."", ""The microRNA precursor miR-17 family,  includes miR-20a/b, miR-93, and miR-106a/b."", ""With the exception of miR-93, these microRNAs are produced from several microRNA gene clusters, which apparently arose from a series of ancient evolutionary genetic duplication events, and also include members of the miR-19, and miR-25 families."", ""These clusters are transcribed as long non-coding RNA transcripts that are processed to form ~70 nucleotide microRNA precursors, that are subsequently processed by the Dicer enzyme to give a ~22 nucleotide products.""]",past,fin,none
The mature products are thought and possibly known to have regulatory roles through complementarity to mRNA .,The mature products are thought but not known to have regulatory roles through complementarity to mRNA .,"[""The miR-24 microRNA precursor is a small non-coding RNA molecule that regulates gene expression."", ""microRNAs are transcribed as ~70 nucleotide precursors and subsequently processed by the Dicer enzyme to give a mature ~22 nucleotide product."", ""In this case the mature sequence comes from the 3' arm of the precursor.""]",past,fin,none
The products are thought and possibly known to have regulatory roles through complementarity to mRNA .,The products are thought but not known to have regulatory roles through complementarity to mRNA .,"[""miR-30 microRNA precursor is a small non-coding RNA that regulates gene expression."", ""Animal microRNAs are transcribed as pri-miRNA (primary miRNA) of varying length which in turns are processed in the nucleus by Drosha into ~70 nucleotide stem-loop precursor called pre-miRNA (precursor miRNA) and subsequently processed by the Dicer enzyme to give a mature ~22 nucleotide product."", ""In this case the mature sequence comes from both the 3' (miR-30) and 5' (mir-97-6) arms of the precursor.""]",past,fin,none
mir -395 is thought and possibly known to target mRNAs coding for ATP sulphurylases .,mir -395 is thought but not known to target mRNAs coding for ATP sulphurylases .,"[""mir-395 is a non-coding RNA called a microRNA that was identified in both Arabidopsis thaliana and Oryza sativa computationally and was later experimentally verified.""]",past,fin,none
mir -399 is thought and possibly known to target mRNAs coding for a phosphate transporter .,mir -399 is thought but not known to target mRNAs coding for a phosphate transporter .,"[""mir-399 is a microRNA that was identified in both Arabidopsis thaliana and Oryza sativa computationally and was later experimentally verified.""]",past,fin,none
mir - BART2 is thought and possibly known to target the virally encoded DNA polymerase BALF5 for degradation .,mir - BART2 is thought but not known to target the virally encoded DNA polymerase BALF5 for degradation .,"[""The mir-BART2 microRNA precursor found in Human herpesvirus 4 (Epstein\u2013Barr virus) and Cercopithicine herpesvirus 15. mir-BART2 is expressed in all stages of infection but expression is significantly elevated in the lytic stage."", ""In Epstein-Barr virus, mir-BART2 is found in the intronic regions of the BART (Bam HI-A region rightward transcript) gene whose function is unknown.""]",past,fin,none
BHRF - 1 - 1 miRNA is thought and possibly known to operate as part of a ' miRNA cluster ' with two other microRNAs also found in the Epstein–,BHRF - 1 - 1 miRNA is thought but not known to operate as part of a ' miRNA cluster ' with two other microRNAs also found in the Epstein–,"[""The mir-BHRF1-1 microRNA precursor found in Human herpesvirus 4 (Epstein\u2013Barr virus) and Cercopithicine herpesvirus 15."", ""In Epstein\u2013"", ""Barr virus, mir-BHRF1-1 is found in the 5' UTR of the BHRF1 (Bam HI fragment H rightward open reading frame 1) gene, which is known to encode a distant Bcl-2 homolog."", ""The mature sequence is excised from the 5' arm of the hairpin."", ""Two other miRNA precursors were found in this reading frame, namely Mir-BHRF1-2 and Mir-BHRF1-3.""]",past,fin,none
BHRF - 1 - 2 miRNA is thought and possibly known to operate as part of a ' miRNA cluster ' with two other microRNAs also found in the Epstein - Barr virus genome .,BHRF - 1 - 2 miRNA is thought but not known to operate as part of a ' miRNA cluster ' with two other microRNAs also found in the Epstein - Barr virus genome .,"[""The mir-BHRF1-2 microRNA precursor found in human herpesvirus 4 (Epstein\u2013Barr virus), cercopithicine herpesvirus 15 and herpesvirus papio."", ""In Epstein-Barr virus, mir-BHRF1-2 is found in the 3' UTR of the BHRF1 (Bam HI fragment H rightward open reading frame 1) gene, which is known to encode a distant Bcl-2 homolog."", ""The mature sequence is excised from the 3' arm of the hairpin."", ""Two other miRNA precursors were found in this reading frame, namely Mir-BHRF1-1 and Mir-BHRF1-3.""]",past,fin,none
BHRF - 1 - 3 miRNA is thought and possibly known to operate as part of a ' miRNA cluster ' with two other microRNAs also found in the Epstein–,BHRF - 1 - 3 miRNA is thought but not known to operate as part of a ' miRNA cluster ' with two other microRNAs also found in the Epstein–,"[""The mir-BHRF1-3 microRNA precursor found in Human herpesvirus 4 (Epstein\u2013Barr virus)."", ""In Epstein-Barr virus, mir-BHRF1-3 is found in the 3' UTR of the BHRF1 (Bam HI fragment H rightward open reading frame 1) gene, which is known to encode a distant Bcl-2 homolog."", ""The mature sequence is excised from the 5' arm of the hairpin."", ""Two other miRNA precursors were found in this reading frame, namely Mir-BHRF1-1 and Mir-BHRF1-2.""]",past,fin,none
It is thought and possibly known that this IRES allows efficient Mnt synthesis when cap - dependent translation initiation is reduced .,It is thought but not known that this IRES allows efficient Mnt synthesis when cap - dependent translation initiation is reduced .,"[""The Mnt internal ribosome entry site (IRES) is an RNA element."", ""Mnt is a transcriptional repressor related to the Myc/Mad family of transcription factors.""]",past,fin,none
The 109 nucleotide RNA is thought and possibly known to be composed of three stem - loops .,The 109 nucleotide RNA is thought but not known to be composed of three stem - loops .,"[""OxyS RNA is a small non-coding RNA which is induced in response to oxidative stress in Escherichia coli."", ""This RNA acts as a global regulator to activate or repress the expression of as many as 40 genes, by an antisense mechanism, including the fhlA-encoded transcriptional activator and the rpoS-encoded sigma(s) subunit of RNA polymerase."", ""OxyS is bound by the Hfq protein, that increases the OxyS RNA interaction with its target messages."", ""Binding to Hfq alters the conformation of OxyS.""]",past,fin,none
"The RY nucleotide sequence motif ( 5 ' - ACAGG and CUCUUCC - 5 ' ) in PSTVd , is thought and possibly known to bind with the tomato protein Virp1 .","The RY nucleotide sequence motif ( 5 ' - ACAGG and CUCUUCC - 5 ' ) in PSTVd , is thought but not known to bind with the tomato protein Virp1 .","[""The Pospiviroid RY motif stem loop is an RNA element found in  Pospiviroids such as potato spindle tuber viroid (PSTVd).""]",past,fin,none
It is however thought and possibly known that RY motifs are essential for establishing a viroid infection .,It is however thought but not known that RY motifs are essential for establishing a viroid infection .,"[""The Pospiviroid RY motif stem loop is an RNA element found in  Pospiviroids such as potato spindle tuber viroid (PSTVd)."", ""The RY nucleotide sequence motif (5'-ACAGG and CUCUUCC-5') in PSTVd, is thought to bind with the tomato protein Virp1."", ""The exact function of this motif and the significance of Virp1 binding is unknown.""]",past,fin,none
It is thought and possibly known that this editing event targets the process of fast inactivation and allows a more rapid recovery from inactivation at negative potentials .,It is thought but not known that this editing event targets the process of fast inactivation and allows a more rapid recovery from inactivation at negative potentials .,"[""The potassium channel RNA editing signal is an RNA element found in human Kv1.1 and its homologues which directs the efficient modification of an adenosine to inosine by an adenosine deaminase acting on RNA (ADAR)."", ""The ADAR modification causes an isoleucine/valine recoding event which lies in the ion-conducting pore of the potassium channel.""]",past,fin,none
"It is thought and possibly known that at 37 ° C , the hairpin structure ' melts ' and the SD sequence is unmasked .","It is thought but not known that at 37 ° C , the hairpin structure ' melts ' and the SD sequence is unmasked .","[""The PrfA thermoregulator UTR is an RNA thermometer found in the 5' UTR of the prfA gene."", ""In Listeria monocytogenes, virulence genes are maximally expressed at 37\u00a0\u00b0C (human body temperature) but are almost silent at 30\u00a0\u00b0C."", ""The genes are controlled by PrfA, a transcriptional activator whose expression is thermoregulated."", ""It has been shown that the untranslated mRNA (UTR) preceding prfA, forms a secondary structure, which masks the ribosome binding region.""]",past,fin,none
